Country,League,Season,Date,Time,TeamHome,TeamAway,FTHG,FTAG,Res
Mexico,Liga MX,2022/2023,2/4/2023,1:00,Necaxa,Club Tijuana,1,1,D
Mexico,Liga MX,2022/2023,2/4/2023,3:05,Mazatlan FC,Juarez,2,3,A
Mexico,Liga MX,2022/2023,2/4/2023,23:00,Club Leon,Pachuca,0,1,A
Mexico,Liga MX,2022/2023,2/3/2023,3:00,Atl. San Luis,Puebla,2,0,H
Mexico,Liga MX,2022/2023,2/2/2023,2:05,Atlas,Toluca,0,0,D
Mexico,Liga MX,2022/2023,1/30/2023,1:00,Pachuca,Necaxa,2,1,H
Mexico,Liga MX,2022/2023,1/29/2023,1:05,U.A.N.L.- Tigres,Atl. San Luis,0,0,D
Mexico,Liga MX,2022/2023,1/29/2023,3:05,Club America,Mazatlan FC,6,0,H
Mexico,Liga MX,2022/2023,1/29/2023,3:05,Juarez,Guadalajara Chivas,1,2,A
Mexico,Liga MX,2022/2023,1/29/2023,18:00,Toluca,Club Leon,0,0,D
Mexico,Liga MX,2022/2023,1/28/2023,1:05,Puebla,Monterrey,1,2,A
Mexico,Liga MX,2022/2023,1/28/2023,3:05,Club Tijuana,U.N.A.M.- Pumas,0,0,D
Mexico,Liga MX,2022/2023,1/27/2023,3:05,Atlas,Santos Laguna,2,2,D
Mexico,Liga MX,2022/2023,1/23/2023,1:10,Pachuca,Juarez,4,1,H
Mexico,Liga MX,2022/2023,1/22/2023,1:10,Club America,Puebla,2,2,D
Mexico,Liga MX,2022/2023,1/22/2023,3:10,Guadalajara Chivas,Toluca,1,2,A
Mexico,Liga MX,2022/2023,1/22/2023,3:10,Necaxa,Cruz Azul,1,0,H
Mexico,Liga MX,2022/2023,1/22/2023,18:00,U.N.A.M.- Pumas,Club Leon,4,1,H
Mexico,Liga MX,2022/2023,1/22/2023,23:00,Queretaro,Atlas,3,3,D
Mexico,Liga MX,2022/2023,1/21/2023,3:00,Mazatlan FC,Santos Laguna,1,2,A
Mexico,Liga MX,2022/2023,1/21/2023,3:10,Club Tijuana,U.A.N.L.- Tigres,1,1,D
Mexico,Liga MX,2022/2023,1/21/2023,23:06,Monterrey,Atl. San Luis,3,1,H
Mexico,Liga MX,2022/2023,1/17/2023,3:05,Club Leon,Necaxa,2,1,H
Mexico,Liga MX,2022/2023,1/16/2023,1:05,U.A.N.L.- Tigres,Pachuca,4,1,H
Mexico,Liga MX,2022/2023,1/15/2023,1:05,Juarez,Club Tijuana,3,0,H
Mexico,Liga MX,2022/2023,1/15/2023,1:05,Toluca,Club America,2,2,D
Mexico,Liga MX,2022/2023,1/15/2023,3:05,Santos Laguna,U.N.A.M.- Pumas,3,0,H
Mexico,Liga MX,2022/2023,1/14/2023,1:05,Atl. San Luis,Guadalajara Chivas,0,0,D
Mexico,Liga MX,2022/2023,1/14/2023,3:05,Puebla,Queretaro,2,0,H
Mexico,Liga MX,2022/2023,1/14/2023,23:00,Cruz Azul,Monterrey,2,3,A
Mexico,Liga MX,2022/2023,1/13/2023,3:05,Atlas,Mazatlan FC,2,1,H
Mexico,Liga MX,2022/2023,1/10/2023,3:10,Pachuca,Puebla,5,1,H
Mexico,Liga MX,2022/2023,1/9/2023,1:00,Santos Laguna,U.A.N.L.- Tigres,0,3,A
Mexico,Liga MX,2022/2023,1/9/2023,3:10,Club Tijuana,Cruz Azul,1,1,D
Mexico,Liga MX,2022/2023,1/8/2023,3:10,Monterrey,Guadalajara Chivas,0,1,A
Mexico,Liga MX,2022/2023,1/8/2023,18:00,U.N.A.M.- Pumas,Juarez,2,1,H
Mexico,Liga MX,2022/2023,1/7/2023,1:00,Necaxa,Atl. San Luis,2,3,A
Mexico,Liga MX,2022/2023,1/7/2023,23:00,Club America,Queretaro,0,0,D
Mexico,Liga MX,2022/2023,10/31/2022,1:36,Pachuca,Toluca,3,1,H
Mexico,Liga MX,2022/2023,10/28/2022,2:06,Toluca,Pachuca,1,5,A
Mexico,Liga MX,2022/2023,10/24/2022,2:06,Monterrey,Pachuca,0,1,A
Mexico,Liga MX,2022/2023,10/23/2022,2:06,Club America,Toluca,1,1,D
