Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2021/2022,10/3/2021,16:30,Lechia Gdansk,Legia,3,1,H,"2,75","3,36","2,73","3,05","3,49","2,76","2,69","3,24","2,58"
Poland,Ekstraklasa,2021/2022,10/16/2021,11:30,Leczna,Piast Gliwice,1,1,D,"3,88","3,34","2,12","3,91","3,42","2,15","3,62","3,23","2,07"
Poland,Ekstraklasa,2021/2022,10/16/2021,14:00,Termalica B-B.,Lechia Gdansk,0,2,A,"3,51","3,64","2,13","3,8","3,65","2,2","3,35","3,35","2,11"
Poland,Ekstraklasa,2021/2022,10/16/2021,16:30,Gornik Z.,Wisla,0,1,A,"1,79","3,91","4,67","2,2","3,92","4,68","1,83","3,57","4,13"
Poland,Ekstraklasa,2021/2022,10/16/2021,19:00,Slask Wroclaw,Rakow,1,2,A,"3,38","3,53","2,23","3,4","3,58","2,28","3,19","3,37","2,17"
Poland,Ekstraklasa,2021/2022,10/17/2021,11:30,Wisla Plock,Pogon Szczecin,1,0,H,"3,65","3,23","2,25","3,75","3,25","2,32","3,44","3,12","2,17"
Poland,Ekstraklasa,2021/2022,10/17/2021,14:00,Cracovia,Warta Poznan,2,0,H,"1,96","3,35","4,53",2,"3,38","4,56","1,93","3,19","4,17"
Poland,Ekstraklasa,2021/2022,10/17/2021,16:30,Legia,Lech Poznan,0,1,A,"3,21","3,64","2,27","3,25","3,64","2,43","3,07","3,38","2,22"
Poland,Ekstraklasa,2021/2022,10/18/2021,17:00,Stal Mielec,Zaglebie,4,2,H,"2,82","3,37","2,66","2,83","3,42","2,71","2,72","3,23","2,53"
Poland,Ekstraklasa,2021/2022,10/18/2021,19:30,Jagiellonia,Radomiak Radom,1,1,D,"2,25","3,43","3,42","2,5","3,43","3,47","2,19","3,27","3,23"
Poland,Ekstraklasa,2021/2022,10/22/2021,17:00,Radomiak Radom,Leczna,3,1,H,"1,62","4,04","6,01","1,66","4,05","6,01","1,61","3,74","5,46"
Poland,Ekstraklasa,2021/2022,10/22/2021,19:30,Lech Poznan,Wisla Plock,4,1,H,"1,34","5,37","9,91","1,37","5,56","9,91","1,33","5,01","8,64"
Poland,Ekstraklasa,2021/2022,10/23/2021,11:30,Rakow,Termalica B-B.,3,2,H,"1,39","4,95","9,13","1,52",5,"9,13","1,38","4,56","7,8"
Poland,Ekstraklasa,2021/2022,10/23/2021,14:00,Lechia Gdansk,Gornik Z.,1,1,D,"2,13","3,52","3,66","2,19","3,68","3,66","2,08","3,4","3,39"
Poland,Ekstraklasa,2021/2022,10/23/2021,16:30,Pogon Szczecin,Jagiellonia,4,1,H,"1,68","3,92","5,53","1,82","3,94","5,7","1,65","3,71","5,19"
Poland,Ekstraklasa,2021/2022,10/23/2021,19:00,Wisla,Slask Wroclaw,0,5,A,"2,14","3,52","3,6","2,35","3,59","3,8","2,09","3,4","3,37"
Poland,Ekstraklasa,2021/2022,10/24/2021,14:00,Zaglebie,Cracovia,1,1,D,"2,69","3,15","2,95","2,73","3,21","2,97","2,61","3,04","2,78"
Poland,Ekstraklasa,2021/2022,10/24/2021,16:30,Warta Poznan,Stal Mielec,0,0,D,"2,29","3,35","3,41","2,3","3,41","3,5","2,21","3,21","3,28"
Poland,Ekstraklasa,2021/2022,10/24/2021,19:00,Piast Gliwice,Legia,4,1,H,"3,19","3,41","2,38","3,35","3,41","2,4","3,07","3,19","2,31"
Poland,Ekstraklasa,2021/2022,10/29/2021,17:00,Cracovia,Radomiak Radom,1,2,A,"2,4","3,11","3,47","2,42","3,24","3,6","2,3","3,04","3,28"
Poland,Ekstraklasa,2021/2022,10/29/2021,19:30,Stal Mielec,Lech Poznan,0,0,D,"7,76","4,73","1,45",8,"4,88","1,5","7,06","4,55","1,41"
Poland,Ekstraklasa,2021/2022,10/30/2021,11:30,Termalica B-B.,Slask Wroclaw,4,3,H,"3,58","3,54","2,14","3,58","3,66","2,19","3,31","3,41","2,11"
Poland,Ekstraklasa,2021/2022,10/30/2021,14:00,Warta Poznan,Lechia Gdansk,0,2,A,"3,46","3,47","2,22","3,9","3,48","2,23","3,36","3,31","2,13"
Poland,Ekstraklasa,2021/2022,10/30/2021,16:30,Gornik Z.,Zaglebie,0,0,D,"1,81","3,91","4,49","1,95","3,91","4,75","1,82","3,62","4,13"
Poland,Ekstraklasa,2021/2022,10/30/2021,19:00,Jagiellonia,Piast Gliwice,3,3,D,"2,49","3,39","3,02","2,52","3,42","3,3","2,4","3,18","2,97"
Poland,Ekstraklasa,2021/2022,10/31/2021,11:30,Wisla Plock,Wisla,2,0,H,"2,22","3,59","3,35","2,27","3,63","3,4","2,17","3,38","3,18"
Poland,Ekstraklasa,2021/2022,10/31/2021,14:00,Leczna,Rakow,0,0,D,"7,32","4,22","1,52","7,32","4,41","1,52","6,65","4,1","1,48"
Poland,Ekstraklasa,2021/2022,10/31/2021,16:30,Legia,Pogon Szczecin,0,2,A,"2,37","3,36","3,25","2,42","3,36","3,32","2,27","3,22","3,13"
Poland,Ekstraklasa,2021/2022,11/5/2021,17:00,Wisla Plock,Termalica B-B.,1,1,D,"1,84","3,78","4,52","1,91","3,81","4,52","1,84","3,53","4,12"
Poland,Ekstraklasa,2021/2022,11/5/2021,19:30,Slask Wroclaw,Jagiellonia,2,2,D,"2,07","3,55","3,79","2,09","3,68","3,79","2,02","3,45","3,54"
Poland,Ekstraklasa,2021/2022,11/6/2021,11:30,Piast Gliwice,Warta Poznan,0,1,A,"1,77","3,63","5,26","1,78","3,74","5,5","1,71","3,52","4,97"
Poland,Ekstraklasa,2021/2022,11/6/2021,14:00,Radomiak Radom,Gornik Z.,1,0,H,"2,44","3,28","3,2","2,45","3,47","3,21","2,33","3,21","3,05"
Poland,Ekstraklasa,2021/2022,11/6/2021,16:30,Lechia Gdansk,Zaglebie,2,1,H,"1,68","4,13","5,12","1,75","4,13","5,26","1,66","3,86","4,8"
Poland,Ekstraklasa,2021/2022,11/6/2021,19:00,Leczna,Lech Poznan,1,1,D,"12,81","5,98","1,26","13,44","6,16","1,3","11,26","5,55","1,25"
Poland,Ekstraklasa,2021/2022,11/7/2021,14:00,Rakow,Pogon Szczecin,0,0,D,"2,15","3,38","3,74","2,3","3,38","3,94","2,14","3,2","3,49"
Poland,Ekstraklasa,2021/2022,11/7/2021,16:30,Legia,Stal Mielec,1,3,A,"1,33","5,51","10,23","1,4",6,"10,23","1,34","5,07","8,35"
Poland,Ekstraklasa,2021/2022,11/7/2021,19:00,Wisla,Cracovia,1,0,H,"2,62","3,34","2,89","2,77","3,4","2,94","2,58","3,17","2,73"
