Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,01/02/2023,19:45,Motherwell,St Johnstone,0,2,A,0,1,A,D Robertson,5,12,1,4,15,10,1,3,2,1,0,30.12
SC0,31/01/2023,19:45,Ross County,Hibernian,1,1,D,0,1,A,G Grainger,11,12,2,3,10,11,3,3,3,4,0,30.12
SC0,29/01/2023,13:30,Livingston,Hearts,0,0,D,0,0,D,A Muir,5,8,4,5,16,15,1,5,0,2,0,30.12
SC0,29/01/2023,16:00,Dundee United,Celtic,0,2,A,0,0,D,D Robertson,4,18,2,6,7,12,1,3,2,0,0,30.12
SC0,28/01/2023,15:00,Hibernian,Aberdeen,6,0,H,3,0,H,C Napier,12,11,8,0,17,12,6,9,2,3,0,31.12
SC0,28/01/2023,15:00,Rangers,St Johnstone,2,0,H,1,0,H,W Collum,20,4,11,1,16,11,9,3,3,3,0,31.12
SC0,28/01/2023,15:00,Ross County,Kilmarnock,3,0,H,1,0,H,C Graham,10,18,5,3,19,12,0,5,1,1,0,30.12
SC0,28/01/2023,15:00,St Mirren,Motherwell,1,0,H,1,0,H,J Beaton,9,8,2,2,14,11,6,5,3,2,0,30.12
SC0,18/01/2023,19:45,Celtic,St Mirren,4,0,H,2,0,H,S McLean,17,9,6,3,5,5,8,2,0,0,0,30.12
SC0,18/01/2023,19:45,Hearts,Aberdeen,5,0,H,4,0,H,W Collum,12,9,6,2,18,15,3,8,1,1,0,30.12
SC0,18/01/2023,20:00,Kilmarnock,Rangers,2,3,A,1,1,D,K Clancy,10,13,5,7,12,15,3,4,1,2,1,30.12
SC0,14/01/2023,15:00,Hibernian,Dundee United,2,2,D,1,2,A,C Steven,16,12,6,4,10,8,3,6,2,3,0,30.12
SC0,14/01/2023,15:00,Motherwell,Ross County,1,1,D,0,0,D,D Dickinson,11,12,3,5,15,9,7,3,2,3,0,30.12
SC0,14/01/2023,15:00,St Johnstone,Livingston,2,4,A,0,3,A,J Beaton,15,11,5,5,13,10,5,3,1,1,0,30.12
SC0,13/01/2023,19:45,Hearts,St Mirren,1,0,H,1,0,H,D Munro,12,19,3,4,8,13,5,5,2,4,0,30.12
SC0,08/01/2023,13:30,Motherwell,Hibernian,2,3,A,0,1,A,D Munro,13,10,3,4,12,9,5,2,2,1,0,30.12
SC0,08/01/2023,16:00,Dundee United,Rangers,0,2,A,0,0,D,S McLean,6,20,1,10,4,2,1,7,1,0,0,30.12
SC0,07/01/2023,15:00,Aberdeen,St Johnstone,2,0,H,0,0,D,E Anderson,16,10,7,1,12,11,9,2,0,3,0,30.12
SC0,07/01/2023,15:00,Celtic,Kilmarnock,2,0,H,1,0,H,N Walsh,24,2,10,0,9,11,4,3,0,0,0,30.12
SC0,07/01/2023,15:00,Ross County,Livingston,0,2,A,0,0,D,W Collum,10,12,2,5,8,7,4,4,0,1,0,30.12
SC0,07/01/2023,15:00,St Mirren,Hearts,1,1,D,1,0,H,C Graham,13,10,5,3,18,7,3,4,2,2,1,30.12
SC0,02/01/2023,12:30,Rangers,Celtic,2,2,D,0,1,A,J Beaton,15,8,5,2,11,13,5,4,1,1,0,30.12
SC0,02/01/2023,15:00,Aberdeen,Ross County,0,0,D,0,0,D,M MacDermid,22,7,6,1,5,12,11,1,0,4,0,30.12
